rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
93,Fred VanVleet,30,HOU,PG,39,39,35.70,5.20,13.50,.389,2.60,7.70,.334,2.60,5.70,.462,.485,1.90,2.40,.806,0.70,3.30,4.10,5.90,1.80,0.50,1.50,2.50,15.00
94,Ivica Zubac,27,LAC,C,41,41,31.90,6.70,10.90,.615,0.00,0.00,0.0,6.70,10.90,.615,.615,1.60,2.90,.559,3.80,8.90,12.70,2.60,0.70,1.20,1.80,1.90,15.00
95,Jerami Grant,30,POR,PF,32,32,32.40,4.80,12.50,.383,2.40,6.30,.379,2.40,6.20,.386,.479,3.00,3.60,.833,0.50,3.00,3.50,2.20,0.80,1.10,1.40,2.30,14.90
96,Jakob Poeltl,29,TOR,C,38,37,31.40,6.40,10.40,.612,0.00,0.10,.000,6.40,10.40,.615,.612,1.80,2.80,.639,3.60,6.70,10.40,2.60,1.20,1.20,2.00,3.40,14.60
97,Payton Pritchard,27,BOS,PG,43,0,27.70,5.10,10.70,.472,3.30,8.00,.416,1.70,2.70,.636,.627,1.10,1.30,.842,1.40,2.20,3.60,3.40,0.90,0.10,1.00,1.70,14.60
98,Mark Williams,23,CHO,C,17,14,22.90,5.80,9.40,.616,0.00,0.10,.000,5.80,9.30,.620,.616,2.90,3.80,.754,3.40,6.10,9.50,2.20,0.60,1.10,1.20,2.40,14.40
99,Kyle Kuzma,29,WAS,PF,25,23,27.40,5.70,13.40,.424,1.20,4.50,.257,4.50,8.90,.509,.467,1.80,3.00,.587,0.80,4.60,5.40,2.60,0.70,0.20,2.40,1.60,14.30
100,Deni Avdija,24,POR,SF,40,22,28.50,4.80,10.50,.462,1.50,4.30,.347,3.40,6.20,.540,.532,3.10,4.00,.767,1.30,5.30,6.60,3.30,1.10,0.60,2.40,2.20,14.20
101,Tre Mann,23,CHO,PG,13,0,24.50,5.40,12.40,.435,1.80,4.60,.400,3.50,7.80,.455,.509,1.50,1.60,.905,0.90,2.00,2.90,3.00,0.50,0.30,1.90,1.80,14.10
102,Jarrett Allen,26,CLE,C,42,42,28.80,5.70,8.10,.711,0.00,0.00,.000,5.70,8.00,.713,.711,2.60,3.50,.740,2.60,7.40,10.00,1.90,0.90,0.90,1.00,1.40,14.00
103,Josh Hart,29,NYK,SG,44,44,37.80,5.30,9.50,.557,1.20,3.40,.362,4.10,6.10,.665,.622,2.20,2.70,.814,2.20,7.40,9.60,5.60,1.50,0.30,2.00,2.70,14.00
104,Christian Braun,23,DEN,SG,42,42,32.80,5.40,9.50,.571,0.90,2.50,.369,4.50,7.00,.642,.619,2.10,2.60,.818,1.30,3.40,4.70,1.90,1.00,0.60,1.00,2.30,13.90
