geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Davao Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Management consultancy activities,19,910,909,0,1812130,926343,580484,345859,672318,13031,-12,0,0
Davao Region,Architectural and engineering activities  and related technical consultancy,60,1433,1433,0,688113,485840,166008,319832,403591,4011,1860,0,0
Davao Region,Technical testing and analysis,62,368,368,0,599935,501717,155146,346571,270924,0,0,0,0
Davao Region,Research and experimental development  on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Research and experimental development  in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Advertising,36,280,280,0,575862,507251,45953,461298,127153,0,9654,0,0
Davao Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Photographic activities,27,123,123,0,1681317,511043,177705,333338,1468030,0,0,0,0
Davao Region,"Other professional, scientific and technical activities, n.e.c.",7,42,42,0,25112,23758,7146,16612,9027,0,0,0,0
Davao Region,Veterinary activities,8,40,40,0,10521,7431,2722,4709,6268,200,27,0,0
Soccsksargen,"Professional, Scientific and Technical Activities",153,1438,1429,17,725626,573676,180662,393014,373131,-5536,3065,0,0
Soccsksargen,Legal activities,36,96,96,0,37692,23503,11630,11873,30823,0,-151,0,0
Soccsksargen,"Accounting, bookkeeping and auditing activities;  tax consultancy",9,100,100,0,53761,44926,7379,37547,17678,0,886,0,0
Soccsksargen,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Management consultancy activities,6,55,55,0,83016,51697,25112,26585,57430,650,-3,0,0
Soccsksargen,Architectural and engineering activities  and related technical consultancy,9,808,799,14,344795,257700,79544,178156,185640,450,1761,0,0
